"filename", "language", "Python", "toml", "Markdown", "comment", "blank", "total"
"/home/mkapfhammer/Documents/ActionTraction/action-traction/README.md", "Markdown", 0, 0, 2, 0, 1, 3
"/home/mkapfhammer/Documents/ActionTraction/action-traction/action_traction/__init__.py", "Python", 1, 0, 0, 0, 1, 2
"/home/mkapfhammer/Documents/ActionTraction/action-traction/action_traction/basic_analysis_calculations.py", "Python", 241, 0, 0, 11, 59, 311
"/home/mkapfhammer/Documents/ActionTraction/action-traction/action_traction/download_repos.py", "Python", 17, 0, 0, 3, 6, 26
"/home/mkapfhammer/Documents/ActionTraction/action-traction/action_traction/file_contents_analysis.py", "Python", 231, 0, 0, 42, 71, 344
"/home/mkapfhammer/Documents/ActionTraction/action-traction/action_traction/longitudinal_quality_score.py", "Python", 0, 0, 0, 0, 1, 1
"/home/mkapfhammer/Documents/ActionTraction/action-traction/action_traction/main.py", "Python", 25, 0, 0, 10, 11, 46
"/home/mkapfhammer/Documents/ActionTraction/action-traction/action_traction/quality_score.py", "Python", 262, 0, 0, 5, 59, 326
"/home/mkapfhammer/Documents/ActionTraction/action-traction/action_traction/traverse_repos.py", "Python", 77, 0, 0, 1, 16, 94
"/home/mkapfhammer/Documents/ActionTraction/action-traction/mine_repository.py", "Python", 26, 0, 0, 4, 9, 39
"/home/mkapfhammer/Documents/ActionTraction/action-traction/poetry.lock", "toml", 0, 531, 0, 0, 49, 580
"/home/mkapfhammer/Documents/ActionTraction/action-traction/tests/__init__.py", "Python", 0, 0, 0, 0, 1, 1
"/home/mkapfhammer/Documents/ActionTraction/action-traction/tests/test_action_traction.py", "Python", 103, 0, 0, 32, 35, 170
"/home/mkapfhammer/Documents/ActionTraction/research_questions.md", "Markdown", 0, 0, 27, 0, 21, 48
"/home/mkapfhammer/Documents/ActionTraction/test_code.py", "Python", 78, 0, 0, 14, 15, 107
"Total", "-", 1061, 531, 29, 122, 355, 2098
